comment,text_clean,sentiment,label_encoded
"Yg benci ya apa aja salah.. 
Yg seneng ya makin seneng... 
Yg nyinyir y dpt bahan.. 
Yg dukung y anggap kesuksesan.. 
Terserah rakyat nusantara aja...",yang benci ya apa saja salah yang seneng ya makin seneng yang nyinyir ya dapat bahan yang dukung ya anggap kesuksesan terserah rakyat nusantara saja,neutral,1
Bandung akan miliki kereta pajajaran dgn beaya LBH murah  trs whoosh BS balik modal gak tu 😅😅😅😅😅😅😅,bandung akan miliki kereta pajajaran dengan beaya lbh murah trs whoosh bs balik modal tidak tu,neutral,1
SUDAH JELAS GENG SOLO YANG HARUS BERTANGGUNG JAWAB tangkap semua,sudah jelas geng solo yang harus bertanggung jawab tangkap semua,negative,0
"Jokowi, Luhut, kroni2  yg harus bertanggungjawab dan Bayar hutang WOSH semua, 
Mereka dalang dari kerugian Negara Selama ini,

Inilah akibat OKNUM Presiden dan Pejabat Negara, aparat hukum ygMengikuti Nafsu Setan, terlalu Rakus, licik dan Serakah",jokowi luhut kroni  yang harus bertanggungjawab dan bayar hutang wosh semua mereka dalang dari kerugian negara selama ini inilah akibat oknum presiden dan pejabat negara aparat hukum ygmengikuti nafsu setan terlalu rakus licik dan serakah,negative,0
Yg ditangkap gorengan yg makan duduk manis,yang ditangkap gorengan yang makan duduk manis,neutral,1
buat bayar hutang whossh jual saja Aset tentara murah2 ke kemboja,buat bayar hutang whossh jual saja aset tentara murah  ke kemboja,negative,0
Pantas saja ngotot bgt lanjut 3 periode ternyata banyak borok yg ditutupi.. Gibran jadi tameng lindungi jokow..!!,pantas saja ngotot banget lanjut   periode ternyata banyak borok yang ditutupi gibran jadi tameng lindungi jokow,negative,0
Analisa proyek.bukan kebutuhan.tapi keinginan pribadi penguasa,analisa proyek bukan kebutuhan tapi keinginan pribadi penguasa,negative,0
"This train won't make profit for 40 years at least according to statistic and plus they need to maintain operation cost. There's still local train goes 38 times per day which is enough not to use hsr unless you are in hurry. Also, they borrowed money to build so technically it's owned by china. Now is still an exciting phase with tons of propaganda so will see the truth in 1~2 years later. then we know what actually happened. Obviously, 1M passengers in 2 month is too low and debts will be built up for sure. For obvious calculation, whoosh making $300,000.00 debts every month.. They focus on speed in many ways instead of the practicality.  They shouldn't have compromised to make train station in the cities. Also, It's a bit hilarious to know that there is a small shop inside the HSR for 50 min ride going through 4 stations only.. Is it worth it or it's like a roller coaster in an amusement park situation? By the way, has the so called ""technology transfer"" by China been done yet? So Indonesia by themself can continue extending? That's what they agreed right?",this train won t make profit for   years at least according to statistic and plus they need to maintain operation cost there s still local train goes   times per day which is enough not to use hsr unless you are in hurry also they borrowed money to build so technically it s owned by china now is still an exciting phase with tons of propaganda so will see the truth in     years later then we know what actually happened obviously  m passengers in   month is too low and debts will be built up for sure for obvious calculation whoosh making       debts every month they focus on speed in many ways instead of the practicality they shouldn t have compromised to make train station in the cities also it s a bit hilarious to know that there is a small shop inside the hsr for   min ride going through   stations only is it worth it or it s like a roller coaster in an amusement park situation by the way has the so called technology transfer by china been done yet so indonesia by themself can continue extending that s what they agreed right,negative,0
"“KERETA YANG BERLARI, NEGARA YANG TERSANDUNG”**

Pada suatu masa, di sebuah kerajaan bernama Negeri Janjijaya, tinggal seorang pemimpin yang begitu suka proyek besar—bukan karena ia paham manfaatnya, melainkan karena ia suka melihat wajahnya terpampang di spanduk peresmian.

Namanya singkat saja: Bos.
Dia tak terlalu gemar berpikir panjang; ia hanya suka hal-hal yang bisa membuatnya tampak hebat sesaat.

Di kerajaan itu, ada pula kelompok pengikut setianya, disebut para Termul.
Mereka bukan orang jahat…
mereka lebih buruk dari jahat:
mereka menjilat tanpa otak, membela tanpa logika, dan berteriak paling keras setiap kali Bos sedang salah.

Termul hidup dari kebisingan, bukan dari kebenaran.

Suatu hari, Bos bangun tidur dengan mimpi besar: membuat kereta super cepat.
Kereta yang konon akan membuat kerajaan melompat puluhan tahun ke depan.

Bos berteriak dari balkon istana:

“Kita bangun kereta tercepat di benua ini! Biayanya kecil!
Tanpa uang negara!
Investor luar negeri antre!”

Para Termul langsung bersorak, memukul-mukul dada sendiri seperti gorila yang baru ketemu pisang.

“Betull! Luar biasa! Investor tak terlihat tapi pasti ada!”
Padahal kalau invisibility itu benar, ya bukan investor—tapi hantu.

Pada awalnya, kerajaan lain yang jauh, Jepang, datang menawarkan rencana.
Rencana itu penuh angka, kalkulasi, dan kehati-hatian.
Tapi Bos merasa itu terlalu rumit.
Ia tidak suka hal-hal yang harus dihitung.

Lalu datanglah utusan dari negeri Cina.
Mereka menawarkan konsep yang lebih manis, lebih cepat, dan lebih sedikit instruksi teknis.
Bahkan disebut-sebut tidak akan memakai uang rakyat.

Dan Bos langsung jatuh cinta.
Cinta yang tidak lewat otak, tapi lewat retorika.

Ia pun berkata:

“Kita belok ke Cina saja! Mereka janji semua beres!”

Para Termul bersorak lagi, kali ini lebih keras, karena sudah mulai dapat uang transport dari panitia proyek.

Kereta pun dibangun.
Tanah digusur.
Biaya naik.
Gambar-gambar maket muncul di mana-mana seperti brosur MLM.

Setiap kali biaya membengkak, Bos berkata:

“Itu hal biasa.”

Setiap kali rakyat bertanya investor mana yang antre, para Termul menjawab:

“Banyak! Tapi tidak bisa disebutkan!”

Seakan-akan investor itu seperti pacar imaginary anak SD:
konon cantik, sayang sekali sekolahnya jauh.

Setelah bertahun-tahun, kereta akhirnya selesai.
Kereta ini memang cepat.
Lebih cepat dari akal sehat yang hilang ketika proyek dimulai.

Namun yang lebih cepat lagi adalah kerugian.

Pendapatan jauh dari harapan.
Biaya operasional seperti naga lapar yang makan emas setiap hari.
Utang menggunung.
Dan kerajaan pun mulai mengalirkan uang rakyat untuk menutupinya—pelan, diam-diam, tapi pasti.

Para Termul tetap membela:

“Kerugian itu biasa! Yang penting kereta bisa whoosh!”

Mereka menyebut “visi”, padahal yang mereka lihat cuma slip gaji.

Beberapa waktu kemudian, lembaga pemberantas korupsi mulai menelisik.
Angka-angka tidak cocok.
Biaya tidak wajar.
Hubungan proyek dengan pejabat tampak aneh seperti kucing pakai sepatu.

Dan saat nama Bos mulai disebut-sebut,
tiba-tiba kemampuan alamiahnya muncul:
melupakan segala hal yang ia ciptakan sendiri.

Ketika ditanya, Bos dengan wajah polos berkata:

“Lho? Kok tanya saya?
Saya hanya memulai.
Kalau ujungnya rugi, itu bukan urusan saya lagi.”

Para Termul serempak mengangguk:

“Betul! Bos cuma meresmikan!
Yang salah itu siapa pun, asal bukan Bos!”

Akhirnya, kereta itu tetap melaju setiap hari.
Bukan karena manfaatnya besar,
bukan karena penumpang membludak,
tetapi karena utang harus tetap dicicil, mau tidak mau.

Sementara Bos menikmati masa pensiunnya,
bersantai, memberi ceramah, menulis buku,
dan setiap kali ada yang bertanya:

“Bos, bagaimana dengan kereta yang merugi itu?”

Ia selalu menjawab dengan kalimat yang telah menjadi legenda gelap Negeri Janjijaya:

“Jangan tanya saya.”

Para Termul tepuk tangan.
Rakyat tepuk jidat.

Dan kerajaan terus membayar kerugian proyek yang lahir dari mimpi satu orang,
tapi bebannya dipikul seluruh negeri.",kereta yang berlari negara yang tersandung pada suatu masa di sebuah kerajaan bernama negeri janjijaya tinggal seorang pemimpin yang begitu suka proyek besar bukan karena ia paham manfaatnya melainkan karena ia suka melihat wajahnya terpampang di spanduk peresmian namanya singkat saja bos dia tidak terlalu gemar berpikir panjang ia hanya suka hal hal yang bisa membuatnya tampak hebat sesaat di kerajaan itu ada pula kelompok pengikut setianya disebut para termul mereka bukan orang jahat mereka lebih buruk dari jahat mereka menjilat tanpa otak membela tanpa logika dan berteriak paling keras setiap kali bos sedang salah termul hidup dari kebisingan bukan dari kebenaran suatu hari bos bangun tidur dengan mimpi besar membuat kereta super cepat kereta yang konon akan membuat kerajaan melompat puluhan tahun ke depan bos berteriak dari balkon istana kita bangun kereta tercepat di benua ini biayanya kecil tanpa uang negara investor luar negeri antre para termul langsung bersorak memukul mukul dada sendiri seperti gorila yang baru ketemu pisang betull luar biasa investor tidak terlihat tapi pasti ada padahal kalau invisibility itu benar ya bukan investor tapi hantu pada awalnya kerajaan lain yang jauh jepang datang menawarkan rencana rencana itu penuh angka kalkulasi dan kehati hatian tapi bos merasa itu terlalu rumit ia tidak suka hal hal yang harus dihitung lalu datanglah utusan dari negeri cina mereka menawarkan konsep yang lebih manis lebih cepat dan lebih sedikit instruksi teknis bahkan disebut sebut tidak akan memakai uang rakyat dan bos langsung jatuh cinta cinta yang tidak lewat otak tapi lewat retorika ia pun berkata kita belok ke cina saja mereka janji semua beres para termul bersorak lagi kali ini lebih keras karena sudah mulai dapat uang transport dari panitia proyek kereta pun dibangun tanah digusur biaya naik gambar gambar maket muncul di mana mana seperti brosur mlm setiap kali biaya membengkak bos berkata itu hal biasa setiap kali rakyat bertanya investor mana yang antre para termul menjawab banyak tapi tidak bisa disebutkan seakan akan investor itu seperti pacar imaginary anak sd konon cantik sayang sekali sekolahnya jauh setelah bertahun tahun kereta akhirnya selesai kereta ini memang cepat lebih cepat dari akal sehat yang hilang ketika proyek dimulai namun yang lebih cepat lagi adalah kerugian pendapatan jauh dari harapan biaya operasional seperti naga lapar yang makan emas setiap hari utang menggunung dan kerajaan pun mulai mengalirkan uang rakyat untuk menutupinya pelan diam diam tapi pasti para termul tetap membela kerugian itu biasa yang penting kereta bisa whoosh mereka menyebut visi padahal yang mereka lihat cuma slip gaji beberapa waktu kemudian lembaga pemberantas korupsi mulai menelisik angka angka tidak cocok biaya tidak wajar hubungan proyek dengan pejabat tampak aneh seperti kucing pakai sepatu dan saat nama bos mulai disebut sebut tiba tiba kemampuan alamiahnya muncul melupakan segala hal yang ia ciptakan sendiri ketika ditanya bos dengan wajah polos berkata lho kok tanya saya saya hanya memulai kalau ujungnya rugi itu bukan urusan saya lagi para termul serempak mengangguk betul bos cuma meresmikan yang salah itu siapa pun asal bukan bos akhirnya kereta itu tetap melaju setiap hari bukan karena manfaatnya besar bukan karena penumpang membludak tetapi karena utang harus tetap dicicil mau tidak mau sementara bos menikmati masa pensiunnya bersantai memberi ceramah menulis buku dan setiap kali ada yang bertanya bos bagaimana dengan kereta yang merugi itu ia selalu menjawab dengan kalimat yang telah menjadi legenda gelap negeri janjijaya jangan tanya saya para termul tepuk tangan rakyat tepuk jidat dan kerajaan terus membayar kerugian proyek yang lahir dari mimpi satu orang tapi bebannya dipikul seluruh negeri,negative,0
